S No.,Name of CCA,Village,Panchayat,Country,Location,Area (ha),Ecosystem Type,Ecosystem - further details,Communities,Number of households,Number of people,Origin,History,Year of Formation,Motivations,Motivations - further details,Collective of CCAs,Collective of CCAs - further details,People and decision making,Decision Making Body,Rules and Regulations,Rules and Management Practices,Community activities through the year,Ecological Restoration and Biodiversity Conservation,Legal Status,FRA Applicability,Community Forest Resource Rights (CFR),Date of filing CFR claim,Level of CFR claim,Date of recognition of CFR claim,CFR - further details,Management plan status,Land Ownership,Other Recognised Status,Sacred Landscape,Legal and Other Recognitions- further details,Impact on Livelihoods and Subsistence,Social Impacts,Ecological Impact,Impact - further details,Opportunities,Internal Threats and Challenges,External Threats and Challenges,Threats and challenges - further details,Needs,Future Plans,Data Source,Information Provider,Year of Study,License,Glossary of Vernacular terms,References,News and Updates,Multimedia
1,"Tinmauza (Akhupadar, Basantpur and Lakhapada)","Akhupadar, Basantpur & Lakhapada",,India,20.05199769 | 85.31620489 ,97.27,Forest,,Kandha (ST) + Others,78,,Based on traditional practice | Revived by community initiative,,1980,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) |  Self empowerment (including land ownership/access security) | Response to external threat,Deforestation and querying by outsiders posed a crisis for forest-dependent livelihood activities. This triggered the communities to come together and protect their forest land.,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ",The community forest management committee is elected by the gram sabha that consists of 15 members.,Gram sabha | CFR Committee,,"1. Thengapalli or serial guarding of the forest by the community with bamboo sticks. 2. Only people of the Tin Msuza can take NTFP, medicinal herbs can be collected by local traditional healers even of outside Tinmauja villages. 3. Fuelwood can be collected only once in a week ","Fire Management | Regulation of harvest  | Patrolling, watch and ward ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,26.07.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce ,Community empowerment | Empowerment of women/youth/disadvantaged sections | Assured land ownership or access | Mitigation of external threat,Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Improvement in ecological services such as water supply and soil fertility,Number and diversity of wildlife species has increased. Thick forest cover has grown on the patches which had gotten barren due to deforestation and querying activities. Biodiversity of both flora and fauna has improved. The number and quantity of NTFPs have improved. ,,"Conflict with other communities | Changing socio-cultural practices and aspirations | Outmigration
",Restrictive laws and policies   | Invasive or non-native species,There is no proper mechanism to transfer traditional knowledge to the younger generation. The younger generation does not feel the same connection with forests as the older generation.,,The community needs to develop a plan for the sustainability of the initiative.,Through participation and consent of entire community,Vasundhara,2023,,"Bethi- Unpaid labor during kings' rule, Garhjat states - Princely states of Odisha located in Garhjat hills, Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection. ","Lakerveld P. R., Lele S & et. el (2015) The social distribution of provisioning forest ecosystem services: Evidence and insights from Odisha, India. Ecosystem Sevices. Pg: 56:66 ",,
2,"Tinmauza (Thanapallipatna, Musajhari and Derabaj)","Thannapallipatna, Musajhar, and Derabaj",,India,20.14362289 | 85.31026564 ,122.68,Forest,"Two waterfalls - Kotapokhari and Pathargurguri. For irrigation purposes, only water from Pathargurguri is used by the three villages. Water from Kotapokhari is left for the use of other villages.",OTFDs,66,265,Based on traditional practice | Revived by community initiative,,1977,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,To protect the forest from timber mafia and poachers.,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ","Monthly CFR-MC meeting is held. Annual general meeting on the day of Raja Sankranti. Committee funds, selection, and other issues are discussed in the annual meeting.",Gram sabha | CFR Committee,,"Forest watcher selected from the community is paid Rs 5000 monthly. Additionally, thengapalli is done by 2-3 people daily to reduce the chances of timber and NTFP theft. Lighting fire in any form like bidi, etc. is strictly prohibited during summer. Special provision to provide timber for funerals, marriages, agriculture equipment, and construction and maintenance of houses, etc., with permission from the committee. Poor and underprivileged are given special concessions.  NTFPS like Amla, Siali leaf, pijuli, Bahada, Tunga, Korba, etc. can be collected only by the people of the three villages. Certain medicinal plants can be collected by people of the three villages as well as from another neighboring village for personal use. Fuelwood collection is allowed only on Sundays. Only twigs, leaves, and branches are allowed as fuelwood. Cutting of live trees is strictly prohibited. Only one headload can be collected as fuelwood. The Fuelwood collection process is strictly monitored by the forest watcher.

Hunting, poaching, and harming wildlife are strictly prohibited. Police are immediately intimated if a poacher is caught. Forest watcher and pallias keep a strict vigil against any kind of hunting activity.","Fire Management | Regulation of harvest     | Patrolling, watch and ward ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,26.7.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber,Community empowerment | Empowerment of women/youth/disadvantaged sections | Assured land ownership or access | Revival of cultural/religious associations | Mitigation of external threat,Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Improvement in ecological services such as water supply and soil fertility,Number and diversity of wildlife species has increased. Thick forest cover has grown on the patches which had gotten barren due to deforestation and querying activities. Biodiversity of both flora and fauna has improved. The number and quantity of NTFPs have improved. ,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Unwanted extraction | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
3,Kessiapalli,Kesiapalli,,India,20.14192931 | 85.30887014 ,22.55,Forest,Community access water from a reservoir dam called Bhuimundya bandh,OTFDs,63,255,Based on traditional practice | Revived by community initiative,,2006,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ","CFR-MC consisting of 12 members are elected by Gram Sabha every year. Monthly CFR-MC meeting is held. Annual general meeting on the day of Pana Sankranti. Committee funds, selection and other issues are discussed in the annual meeting. ",Gram sabha | CFR Committee,,"One person goes to the forest for Pallia or to perform Thengapalli. Pallia badal or duty performed by the substitute is done if allocated pallia are absent on that day. Bidis are strictly prohibited in the forest to prevent any kind of forest fire. Every man has to go for pallia when his turn comes. Special provision to provide timber for funerals, marriage, house construction, etc. NTFPs are collected by the village people for personal use. Medicinal plants can be accessed by people of the neighboring village too for personal use. Kendu leaves are accessed by neighboring Adivasi villages. Limited use of fuelwood as every family has an LPG connection now. Cutting of live trees for fuelwood is strictly prohibited. If anyone gets caught cutting a live tree, a fine is imposed and a public apology is asked in the front of Gram Sabha.","Fire Management | Regulation of harvest     | Patrolling, watch and ward ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,11.8.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber,"Community empowerment | Assured land ownership or access | Revival of cultural/religious associations
",Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Improvement in ecological services such as water supply and soil fertility,,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
4,Kulasara,Kulasara,,India,20.14704769 | 85.38305689,57.36,Forest,Bhuimundya bandh and a rainwater reservoir Magura bandh provide water for irrigation and other purposes.,OTFDs + 2HH of ST,329,1250,Based on traditional practice | Revived by community initiative,,1978,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat+P7,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ","Forest management committee consisiting of 11 member are selected every year by the Gram Sabha. Monthly CFR-MC meeting happens. Annual general meeting happens on the day of Dol Purnima. Committee funds, selection and other issues are discussed in the annual meeting. ",Gram sabha | CFR Committee,,Thengapalli system is undertaken by men of the village. Every day 4 men go for thengapalli. Palli Badal can be done in case of the absence of any pallia. Lighting of any kind of fire is strictly prohibited. The Forest department is intimated in case of fire while villagers try to stop the spread. Restricted collection of fuelwood but there is special provision for people belonging to SC community. They can collect fuelwood every day. They can also collect NTFPs like chanchunia saag and dates for sale. NTFPs can be collected by people of the village only whereas medicinal plants can be collected by people of neighbouring villages too but for personal use. ,"Fire Management | Regulation of harvest     | Patrolling, watch and ward | Soil and water conservation    ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,12.8.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber | Fish,"Community empowerment | Assured land ownership or access | Revival of cultural/religious associations
","Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Increase in diversity of crops, livestock, fish | Improvement in ecological services such as water supply and soil fertility

",,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Unwanted extraction     | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
5,Surkabari & Hatibari,Surkabari & Hatibari,,India,20.13225039 | 85.28528231,81.05,Forest,A reservoir has been built on a canal from Hara nadi (river) in Hatibari village. The river is the major source of sustenance for people as well as wildlife in the region.  ,"MIxed (ST, SC, and Others) OTFD-278 HHs, ST- 30",308,1200,Based on traditional practice | Revived by community initiative,,1985,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ","A forest management committee consisting of 10 members is constituted every year by the joint Gram Sabha where 7 members are selected from Surkabadi and 3 members from Hatibadi. Apart from the monthly meeting, annual general body meeting is held in the month of June. Emergency meetings can be held anytime if issues arise. ",Gram sabha | CFR Committee,,Thengapali system is undertaken by both men and women. Every day 2 people from the village go for Thengapalli. One forest watcher is also appointed on a salary and is paid from the collective fund of the committee. Pali badal is allowed if the allocated person is absent. Lighting of any kind of fire is strictly prohibited. The Forest department is intimated in case of fire while villagers try to stop the spread. There is restricted collection of fuelwood but special provision for people belonging to SC & ST community. They can also collect NTFPs for commercial purposes. NTFPs can be collected by people of the village only whereas medicinal plants can be collected by people of neighbouring villages too for personal use. ,"Fire Management | Regulation of harvest     | Patrolling, watch and ward | Soil and water conservation    ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,25.7.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber | Fish,"Community empowerment | Assured land ownership or access | Revival of cultural/religious associations
","Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Increase in diversity of crops, livestock, fish | Improvement in ecological services such as water supply and soil fertility

",,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Unwanted extraction     | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
6,Verupada,Verupada,,India,20.06669444 | 85.30002778,42.23,Forest,Two rivulets namely Kohlasingh Nala and Boro Sara Nala are present where the former is utilized for irrigation and other household purposes whereas the latter is exclusively reserved for wildlife.,"MIxed (ST, SC and Others) ST- 4, OTFD- 44",48,200,Based on traditional practice | Revived by community initiative,,1970,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ",Verupoda Jongol Surakshya Committee consisting of 12 members (7 men and 5 women) is selected every year by the Gram Sabha. Gram Sabha meets with the Jongol Surakshya committee every three months. Emergency meetings are held as issues arise. Annual general meetings are held in the month of April.,Gram sabha | CFR Committee,,"Thengapali system is undertaken by both men and women. Every day 2 people from the village go to the forest. While men perform thengapali duties in the reserve forest, women do thengapalli in the revenue forest. Pali badal is allowed if the allocated person is absent. Lighting of any kind of fire is strictly prohibited. When any outsiders are caught stealing timber or NTFPs from the community-protected forest, their respective gram sabha is reported. Restricted collection of fuelwood but special provision for people belonging to SC & ST community. They can also collect NTFPs for commercial purposes For example 3 ST families are allowed to collect Salia and Konta bamboo and sell their product. NTFPs can be collected by people of the village only whereas medicinal plants can be collected by people of neighboring villages too for personal use with the prior permission of the committee.","Fire Management | Regulation of harvest     | Patrolling, watch and ward | Soil and water conservation ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,23.07.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber | Fish,"Community empowerment | Assured land ownership or access | Revival of cultural/religious associations
","Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Increase in diversity of crops, livestock, fish | Improvement in ecological services such as water supply and soil fertility

",,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Unwanted extraction     | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
7,Khetribarpur,Khetribarpur,,India,20.0675408 | 85.2994028,29.76,Forest,,OTFD,37,155,Based on traditional practice | Revived by community initiative,,1998,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ",Village committee also act as forest protection committee. It consists of 7 members including 4 men and 3 women. Gram Sabha meets with the committee every month. An emergency meeting is held whenever the need arises. Annual general meeting is held in august.,Gram sabha | CFR Committee,,"Thengapalli is performed by 1 man every day. Pali Badal is allowed. The pallia for a household without a male member can be done by other men for which the household will pay a labor charge. Villagers proactively stop the spreading of forest fires. NTFP and firewood can be accessed only by the member of the village. Special provisions to cut timber for funerals, house construction, etc. are there with the prior permission of the committee. The Dalit Members of the village are free to use and sell bamboo and its products.","Fire Management | Regulation of harvest     | Patrolling, watch and ward ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,12.08.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber ,"Community empowerment | Assured land ownership or access | Revival of cultural/religious associations
","Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Increase in diversity of crops, livestock, fish | Improvement in ecological services such as water supply and soil fertility

",,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Unwanted extraction     | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
8,Basudia,Bsudia,,India,20.03642139 | 85.32504739,68.58,Forest,Godgudi nala which earlier used to be a source of irrigation for villagers and also for the use of wildlife has now been captured by a private businessman.,OTFD,256,1050,Based on traditional practice | Revived by community initiative,,1980,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ",Basudia Jongol Surakshya committee consisting of 15 members is elected every year. Gram Sabha meets with the forest protection committee every month. An emergency meeting can be held whenever the need arises. An annual general meeting is held on the day of Dol Purnima.,Gram sabha | CFR Committee,,"Thengapalli system of protection is undertaken. Only male members perform thengapalli. Every day 2 people go for thengapalli. Palli badal or guarding by the substitute is allowed. Before the summer season, Jongol Surakshya Committee conducts meeting with the entire village to spread awareness about forest fires. Firelines are created with the help of the entire village and everyone comes together in case of forest fire to stop the spread. Collection of fuelwood is restricted but special provision is there for SC members. They have exclusive right to collect bamboo and sell bamboo products for a living. NTFPs can be collected by anyone in the village for personal and commercial use. Siali leaves are collected by ST members. Medicinal plants can be collected only by the members of the village for personal use.","Fire Management | Regulation of harvest     | Patrolling, watch and ward ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,25.07.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber ,"Community empowerment | Assured land ownership or access | Revival of cultural/religious associations
","Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Increase in diversity of crops, livestock, fish | Improvement in ecological services such as water supply and soil fertility

",,,Changing socio-cultural practices and aspirations,Restrictive laws and policies  | Unwanted extraction     | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
9,Shrikrushnapur,Shrikrushnapur,,India,20.06126000 | 85.15263297 ,65.79,Forest,Gorgoria jharna is being used for irrigation purposes. A reservoir is getting constructed on this jharna.,44 HHs OTFD + 4 HHs ST,48,200,Based on traditional practice | Revived by community initiative,,1980,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ",10 member strong Srikrushna Jungle Surakshya Committee is selected every year by the Gram Sabha. The committee meets whenever a issue related to forest arises.,Gram sabha | CFR Committee,,Thengapalli is undertaken by 1 male member. There is a provision of Palli badal. Preparedness for fire protection is also there amongst the people.,"Fire Management | Regulation of harvest     | Patrolling, watch and ward | Soil and water conservation    ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,2. CFR claims recognised,28.07.2014,,22.11.2023,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber ,"Community empowerment | Assured land ownership or access | Revival of cultural/religious associations
","Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Increase in diversity of crops, livestock, fish | Improvement in ecological services such as water supply and soil fertility

",,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Unwanted extraction     | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,,
10,Kodalpalli and Sinduria,Kodalpalli and Sinduria,,India,20.10821139 | 85.27486700,307.64,Forest,Waterholes inside the forest are left for the drinking purposes of wild animals.,ST HHs 20 + OTFD HHs 5,25,90,Based on traditional practice | Revived by community initiative,,1990,Livelihood (Subsistence/Economic) | Ecological functions (ecosystem services) | Self empowerment (including land ownership/access security) | Religious/cultural sentiments (including sacred landscapes) | Wild Biodiversity conservation | Response to external threat,,Yes,"The CCA is part of Ma Maninag Jungle Surkshya Parishad, a block-level federation of CCAs of 217 villages. ",Jongol Surakshya Committee is selected every year by the Gram Sabha. It meet atleast once in a month. Annual general meeting is held once in a year before monsoon.,Gram sabha | CFR Committee,,Thengapalli system is undertaken by 1 female member. Earlier 4 female members used to go for Thengapalli but the rule has been relaxed now as the conflict around the forest has reduced now and the forest has largely improved. Preparedness for forest fire protection is there. There is restricted use of the forest for fuelwood amongst the communities. Live trees cannot be cut for fuelwood. Commercial use of fuelwood is prohibited. Outsiders are not allowed in the forest. Members of both the village can collect NTFPs and Medicinal plants from the forest. Grazing is prohibited during monsoon season to allow the regeneration of the forest. ,"Fire Management | Regulation of harvest     | Patrolling, watch and ward | Soil and water conservation    ",,Reserve forest | Village forest | Community Forest Resource Rights (CFR) under Forest Rights Act (FRA),Yes,CFR claims recognised,25.07.2014,,22.11.2021,,CFRMC constituted and endorsed by Gram Sabha,Forest Department | Revenue department | Community Owned,None,,,Cut fodder | Grazing | Firewood | Non-timber forest produce | Timber ,"Community empowerment | Empowerment of women/youth/disadvantaged sections | Assured land ownership or access | Revival of cultural/religious associations | Mitigation of external threat
","Improvement and restoration of natural habitat | Increase in diversity and population of wildlife | Increase in diversity of crops, livestock, fish | Improvement in ecological services such as water supply and soil fertility

",,,Changing socio-cultural practices and aspirations,Restrictive laws and policies   | Unwanted extraction     | Invasive or non-native species,,,,Through participation and consent of entire community,Vasundhara,2023,,"Thengapalli- A traditional practice in many parts of Odisha for forest protection by local communities, where a stick (thenga) symbolically represents ones turn for forest protection.",,https://www.downtoearth.org.in/news/forests/after-40-years-nayagarh-villagers-finally-reap-benefits-of-cashew-plantation-84864,
